id,name,date,tagline,description,minute,rating
1002865,The Kissing Booth 3,2021,The end of an era. The beginning of everything else.,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",112.0,1.25
1002873,"Good Luck to You, Leo Grande",2022,It's never too late to try something new.,"Nancy Stokes, a retired schoolteacher, is pretty sure she has never had good sex. Now that her husband has died, she is determined to take a tour of sexual vistas that until now she has only imagined. She even has a plan; it involves an anonymous hotel room, and a sex worker who calls himself Leo Grande.",97.0,3.64
1002878,Migration,2023,Odd ducks welcome.,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",83.0,3.11
1002879,The Blackcoat's Daughter,2015,Abandoned as a child. Raised by the dark.,"In the dead of winter, Kat and Rose, two very different girls, find themselves spending winter break at their prestigious prep school. What they don't know is that Kat is being stalked by an evil entity, and their lives are about to change forever. Meanwhile, Joan, a young, troubled woman, makes her way across a frozen landscape towards the school. But why?",93.0,3.19
1002880,Beasts of No Nation,2015,Child. Captive. Killer.,"A drama based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows the journey of Agu as he's forced to join a group of soldiers. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination. Depicts the mechanics of war and does not shy away from explicit, visceral detail, painting a complex, difficult picture of Agu as a child soldier.",137.0,3.92
1002887,How to Be Single,2016,Welcome to the party,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",110.0,2.76
1002888,Dear Evan Hansen,2021,An honest and original story for the outsider in all of us.,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",137.0,2.18
1002890,The Hustle,2019,They're giving dirty rotten men a run for their money,"Two female scam artists, one low rent and the other high class, compete to swindle a naïve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""",94.0,2.45
1002891,Café Society,2016,Anyone who is anyone will be seen at Café Society.,"The story of a young man who arrives in Hollywood during the 1930s hoping to work in the film industry, falls in love, and finds himself swept up in the vibrant café society that defined the spirit of the age.",97.0,3.12
1002896,Watchmen,2019,Nothing ever ends...,"Set in an alternate history where “superheroes” are treated as outlaws, “Watchmen” embraces the nostalgia of the original groundbreaking graphic novel while attempting to break new ground of its own.",529.0,4.26
1002898,Family Switch,2023,The Walker family is about to change lives. Literally.,"When the Walker family members switch bodies with each other during a rare planetary alignment, their hilarious journey to find their way back to normal will bring them closer together than they ever thought possible.",106.0,2.38
1002899,Traffic,2000,No one gets away clean,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.",147.0,3.69
1002902,I Want to Eat Your Pancreas,2018,This is a story about an unforgettable spring...,"Spring time in April and the last of the cherry blossoms are still in bloom. The usually aloof bookworm with no interest in others comes across a book in a hospital waiting room. Handwritten on the cover are the words: ""Living with Dying."" He soon discovers that it is a diary kept by his very popular and genuinely cheerful classmate, Sakura Yamauchi, who reveals to him that she is secretly suffering from a pancreatic illness and only has a limited time left. It is at this moment that she gains just one more person to share her secret. Trying to maintain a normal life as much as possible, Sakura is determined to live her life to the fullest until the very last day. As her free spirit and unpredictable actions throw him for a loop, his heart begins to gradually change.",108.0,3.84
1002908,Inferno,2016,His greatest challenge. Humanity's last hope.,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",121.0,2.59
1002911,The Dirt,2019,"Their Music Made Them Famous, Their Lives Made Them Infamous",The story of Mötley Crüe and their rise from the Sunset Strip club scene of the early 1980s to superstardom.,108.0,3.13
1002915,IF,2024,A story you have to believe to see.,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,104.0,3.03
1002920,Vox Lux,2018,A twenty-first century portrait.,"In 1999, teenage sisters Celeste and Eleanor survive a seismic, violent tragedy. The sisters compose and perform a song about their experience, making something lovely and cathartic out of a catastrophe - while also catapulting Celeste to stardom. By 2017, Celeste is a mother to a teenage daughter of her own and is struggling to navigate a career fraught with scandals when another act of terrifying violence demands her attention.",114.0,3.15
1002921,Living,2022,It's never too late to start again.,"A veteran civil servant and bureaucratic cog in the rebuilding of Britain post-WWII, Williams expertly pushes paperwork around a government office only to reckon with his existence when he’s diagnosed with a fatal illness.",102.0,3.57
1002926,Insidious: The Last Key,2018,Fear comes home.,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",103.0,2.43
1002928,Self Reliance,2023,Surviving is all about the company you keep.,"When a man is offered a million dollars to play a game in which hunters try to kill him, he thinks he has found the perfect loophole: they can only attack when he’s alone. His only problem is that none of his friends or family believe the game is real.",91.0,2.93
1002943,Border,2018,Sense something beautiful,"When a border guard with a sixth sense for identifying smugglers encounters the first person she cannot prove is guilty, she is forced to confront terrifying revelations about herself and humankind.",110.0,3.56
1002945,The Dig,2021,Nothing stays lost forever.,"As WWII looms, a wealthy widow hires an amateur archaeologist to excavate the burial mounds on her estate. When they make a historic discovery, the echoes of Britain's past resonate in the face of its uncertain future‎.",112.0,3.35
1002950,Black Mirror: Mazey Day,2023,"Season 6, Episode 4",A troubled starlet is dogged by invasive paparazzi while dealing with the consequences of a hit-and-run incident.,40.0,2.11
1002953,Black Mirror: Demon 79,2023,"Season 6, Episode 5","Northern England, 1979. A meek sales assistant is told she must commit terrible acts to prevent disaster.",74.0,3.28
1002954,Knock Knock,2015,One night can cost you everything.,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",99.0,1.99
1002957,The School for Good and Evil,2022,There are two sides to every story.,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,146.0,2.54
1002959,Song to Song,2017,Love. Obsession. Betrayal.,"In this modern love story set against the Austin, Texas music scene, two entangled couples — struggling songwriters Faye and BV, and music mogul Cook and the waitress whom he ensnares — chase success through a rock ‘n’ roll landscape of seduction and betrayal.",129.0,3.04
1002960,Hostiles,2017,No peace without sacrifice,A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.,134.0,3.53
1002961,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",2021,A Questlove Jawn,"During the same summer as Woodstock, over 300,000 people attended the Harlem Cultural Festival, celebrating African American music and culture, and promoting Black pride and unity. The footage from the festival sat in a basement, unseen for over 50 years, keeping this incredible event in America's history lost—until now.",117.0,4.15
1002962,Why Him?,2016,Of all the guys his daughter could have chosen...,A dad forms a bitter rivalry with his daughter's young rich boyfriend.,111.0,2.61
1002964,Ghostland,2018,You really thought you’ve been scared?,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange . . .",91.0,3.1
1002967,The Rental,2020,Secluded getaway. Killer views.,"Two couples on an oceanside getaway grow suspicious that the host of their seemingly perfect rental house may be spying on them. Before long, what should have been a celebratory weekend trip turns into something far more sinister.",88.0,2.64
1002972,Day Shift,2022,Some jobs really go for the throat.,An LA vampire hunter has a week to come up with the cash to pay for his kid's tuition and braces. Trying to make a living these days just might kill him.,113.0,2.63
1002974,Friends: The Reunion,2021,The one where they get back together.,"The cast of Friends reunites for a once-in-a-lifetime celebration of the hit series, an unforgettable evening filled with iconic memories, uncontrollable laughter, happy tears, and special guests.",104.0,3.59
1002976,Blair Witch,2016,There's something evil hiding in the woods.,Students on a camping trip discover something sinister is lurking beyond the trees.,89.0,2.36
1002982,Warcraft,2016,Two worlds. One home.,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",123.0,2.48
1002984,The Sweet East,2023,Everything will happen.,"A picaresque journey through the cities and woods of the Eastern seaboard of the U.S undertaken by Lillian, a high school senior from South Carolina.",104.0,3.5
1002986,Dirty Grandpa,2016,This is Jason. He's a little worried about his grandpa.,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",102.0,2.28
1002987,The Curse of La Llorona,2019,She Wants Your Children.,A social worker dealing with the disappearance of two children fears for her own family after beginning the investigation.,93.0,1.88
1002989,Batman: The Killing Joke,2016,The madness begins,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",77.0,2.8
1002990,Marry Me,2022,Say yes.,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",112.0,2.54
1002991,The Angry Birds Movie,2016,Why so angry?,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.",97.0,2.56
1002994,Roald Dahl's The Witches,2020,They're real!,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",106.0,2.24
1003004,The Map of Tiny Perfect Things,2021,One day. Infinite possibilities.,"The film tells the story of quick-witted teen Mark, contentedly living the same day in an endless loop whose world is turned upside-down when he meets mysterious Margaret also stuck in the time loop. Mark and Margaret form a magnetic partnership, setting out to find all the tiny things that make that one day perfect. What follows is a love story with a fantastical twist, as the two struggle to figure out how -- and whether -- to escape their never-ending day.",99.0,3.23
1003008,Quiz Lady,2023,Two sisters. One destiny.,"A brilliant but tightly wound, gameshow-obsessed young woman, Anne, and her estranged, train-wreck of a sister Jenny, must work together to help cover their mother’s gambling debts. When Anne’s beloved dog is kidnapped, they set out on a wild, cross-country trek to get the cash the only way they know how: by turning Anne into a bona-fide gameshow champion.",100.0,3.29
1003014,Deepwater Horizon,2016,"When faced with our darkest hour, hope is not a tactic","A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",107.0,3.37
1003023,Unpregnant,2020,She's a Type A without a Plan B.,"A 17-year old Missouri teen named Veronica discovers she has gotten pregnant, a development that threatens to end her dreams of matriculating at an Ivy League college, and the career that could follow.",104.0,3.4
1003024,Descendants,2015,They're not bad. They're just born that way.,"A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).",112.0,2.92
1003032,Possum,2018,Can you spy him deep within? Little possum. Black as sin.,A disgraced children’s puppeteer returns to his childhood home and is forced to confront his wicked stepfather and the secrets that have tortured him his entire life.,85.0,3.18
1003035,Cherry,2021,Life leaves a mark.,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",140.0,2.84
1003039,The Night Before,2015,"Their past, present and future. All in one night.","In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",101.0,3.05
1003040,Hellboy,2019,Demons Have Demons Too,"Hellboy comes to England, where he must defeat Nimue, Merlin's consort and the Blood Queen. But their battle will bring about the end of the world, a fate he desperately tries to turn away.",121.0,2.01
1003041,Skyscraper,2018,Don't look down,"Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.",102.0,2.28
1003042,Veronica,2017,Someone answered your call.,"Madrid, June 1991. After celebrating a session of Ouija with her friends, Verónica is besieged by dangerous supernatural presences that threaten to harm her entire family.",105.0,2.9
1003043,Inside,2023,A solitary exhibition.,"An art thief becomes trapped in a New York penthouse after his heist goes awry. Imprisoned with nothing but priceless works of art, he must use all his cunning and invention to survive.",105.0,2.88
1003044,Black Mass,2015,Keep your enemies close.,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",123.0,3.09
1003045,The Prom,2020,Everyone deserves a chance to celebrate.,"After the PTA of a conservative high school in Indiana bans same-sex couples from attending the annual prom, a gang of flamboyant Broadway stars try to boost their image by showing up to support two lesbian students.",132.0,2.33
1003047,This Place Rules,2022,Driving through the perfect storm.,"Acclaimed for his unfiltered reporting and deadpan humor, Andrew Callaghan brings his gonzo style reporting to the undercurrents that led to the January 6 Capitol Riot. As one of the best-known and hardest working journalists of his generation, the 25-year-old ventures on a wild RV journey through America to take the pulse of a divided nation.",82.0,3.61
1003049,The Strangers: Prey at Night,2018,Let us prey,"A family’s road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked psychopaths pay them a visit to test the family’s every limit as they struggle to survive.",85.0,2.69
1003071,Strays,2023,Go fetch yourself.,"When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",93.0,2.56
1003078,"The Boy, the Mole, the Fox and the Horse",2022,"A journey, in search of home.","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.",35.0,3.59
1003081,Haunt,2019,Some Monsters Are Real,"On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",92.0,2.92
1003082,Megalopolis,2024,Create your future.,"Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.",138.0,2.97
1003085,The Void,2016,There Is a Hell. This Is Worse.,"In the middle of a routine patrol, officer Daniel Carter happens upon a blood-soaked figure limping down a deserted stretch of road. He rushes the young man to a nearby rural hospital staffed by a skeleton crew, only to discover that patients and personnel are transforming into something inhuman. As the horror intensifies, Carter leads the other survivors on a hellish voyage into the subterranean depths of the hospital in a desperate bid to end the nightmare before it's too late.",90.0,3.02
1003086,The Forever Purge,2021,The rules are broken.,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,103.0,2.28
1003091,Black Mirror: Black Museum,2017,"Season 4, Episode 6","A woman enters the Black Museum, where the proprietor tells her stories relating to the artifacts.",69.0,3.9
1003095,Metal Lords,2022,Metal up your ass.,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",97.0,2.73
1003097,Maid,2021,"Hard work, low pay, and a mother's will to survive.","After fleeing an abusive relationship, a young mother finds a job cleaning houses and fights to provide a better future for her child.",545.0,4.31
1003098,Armageddon Time,2022,The end of an era. The beginning of everything.,"A deeply personal story about the strength of family, the complexity of friendship, and the generational pursuit of the American Dream.",114.0,3.37
1003107,Plane,2023,Survive together or die alone.,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",107.0,2.86
1003109,Riders of Justice,2020,Nothing Is Random,"Markus, a deployed military man, has to go home to his teenage daughter, Mathilde, when his wife dies in a tragic train accident. It seems to be plain bad luck - but it turns out that it might have been a carefully orchestrated assassination, which his wife ended up being a random casualty of.",116.0,3.85
1003113,Big Time Adolescence,2019,Under his influence.,"A seemingly bright and mostly innocent 16-year-old named Mo attempts to navigate high school under the guidance of his best friend Zeke, an unmotivated-yet-charismatic college dropout. Although Zeke genuinely cares about Mo, things start to go awry as he teaches Mo nontraditional life lessons in drug dealing, partying, and dating. Meanwhile, Mo’s well-meaning dad tries to step in and take back the reins of his son’s upbringing.",91.0,3.43
1003118,The Strangers: Chapter 1,2024,They don't need a reason.,"After their car breaks down in an eerie small town, a young couple are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motives.",91.0,1.96
1003119,Those Who Wish Me Dead,2021,Nature finds a way.,"A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.",100.0,2.73
1003123,Scoob!,2020,Mystery loves company.,"In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",93.0,2.26
1003130,DC League of Super-Pets,2022,"Sit, stay, save the world.","When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",105.0,2.91
1003144,Fear,1996,Together forever. Or else.,"Nicole Walker always dreamed of being swept away by someone special — someone strong, sexy and sensitive who would care for her more than anything else in the world. David is all that and more: a modern-day knight who charms and seduces her, body and soul. But her perfect boyfriend is not all he seems to be. His sweet facade masks a savage, dark side that will soon transform Nicole's dream into a nightmare.",97.0,2.91
1003148,Don't Breathe 2,2021,Bad things happen to bad people.,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",98.0,2.4
1003153,My First Summer,2020,"First Love, first breath","Isolated on a remote property, 16-year-old Claudia finds her world transformed when a spirited girl named Grace wanders into her garden.",78.0,3.84
1003154,Passing,2021,Nothing is black and white.,"In 1920s New York City, a Black woman finds her world upended when her life becomes intertwined with a former childhood friend who's passing as white.",98.0,3.52
1003158,News of the World,2020,Find where you belong.,"A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.",118.0,3.22
1003160,Little Fish,2020,Love is unforgettable.,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,101.0,3.97
1003161,Black Mirror: Striking Vipers,2019,"Season 5, Episode 1","Two estranged college friends reunite in later life, triggering a series of events that could alter their lives forever.",60.0,3.08
1003164,Eddie the Eagle,2015,"Win or lose, always aim high.","The feel-good story of Michael 'Eddie' Edwards, an unlikely but courageous British ski-jumper who never stopped believing in himself—even as an entire nation was counting him out. With the help of a rebellious and charismatic coach, Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics.",106.0,3.47
1003167,Sick,2022,You’re not safe inside.,"In the midst of the pandemic, college student Parker and her best friend Miri decide to self-quarantine at her family's lake house, where they will be alone — or so they think...",83.0,2.99
1003169,Mainstream,2020,Like him. Or not.,A young woman finds a path to internet stardom when she starts making videos with a charismatic stranger.,95.0,2.57
1003171,Independence Day: Resurgence,2016,We had twenty years to prepare. So did they.,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",120.0,2.02
1003174,The Circle,2017,Knowing is good. Knowing everything is better.,"A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.",110.0,2.01
1003176,Pusher,1996,You don't have a chance. Seize it!,A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,105.0,3.71
1003179,The Report,2019,Truth matters.,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.",119.0,3.45
1003180,Better Days,2019,You protect the world. I'll protect you.,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",135.0,3.97
1003181,The Garfield Movie,2024,Indoor cat. Outdoor adventure.,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",101.0,2.61
1003182,In the Heart of the Sea,2015,Based on the incredible true story that inspired Moby Dick,"In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance.",122.0,3.01
1003186,Midnight Special,2016,He's not like us.,A father and son go on the run after the dad learns his child possesses special powers.,112.0,3.34
1003196,Hardcore Henry,2015,First they made him dangerous. Then they made him mad.,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore takes place over the course of one day, in Moscow, Russia.",96.0,3.15
1003202,Magic Mike XXL,2015,Back to the grind.,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",115.0,3.14
1003203,Thesis,1996,My name is Angela. They're going to kill me.,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty...",125.0,3.82
1003208,Allied,2016,The enemy is listening.,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",124.0,3.24
1003209,Cinderella,2021,One shoe to rule them all.,"Cinderella, an orphaned girl with an evil stepmother, has big dreams and with the help of her Fabulous Godmother, she perseveres to make them come true.",113.0,1.47
1003210,John Mulaney: Baby J,2023,A wide-ranging conversation,"A chaotic intervention. An action-packed stay in rehab. After a weird couple of years, John Mulaney comes out swinging in his return to the stage.",80.0,3.83
1003215,The Legend of Tarzan,2016,Human. Nature.,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",109.0,2.45
1003218,I May Destroy You,2020,Find your way forward. Find your way back.,"Set in London, where gratification is only an app away, the story centers on Arabella,  a carefree, self-assured Londoner with a group of great friends, a boyfriend in Italy, and a burgeoning writing career. But when her drink is spiked, she must question and rebuild every element of her life.",368.0,4.48
1003219,The SpongeBob Movie: Sponge Out of Water,2015,He's leaving his world behind.,"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.",93.0,2.64
1003222,Tarot,2024,Your fate is in the cards.,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",92.0,2.05
1003225,Irish Wish,2024,Be careful who you wish for.,Maddie's dream guy is days away from marrying her best friend when a wish for true love made on an ancient stone in Ireland magically alters her fate.,94.0,1.9
1003228,Dumplin',2018,Find out who you are and do it on purpose,"To prove a point about measuring up and fitting in, Texas teen Willowdean “Dumplin’” Dickson enters a local pageant run by her ex-beauty queen mom.",110.0,3.09
1003230,Zoolander 2,2016,Long time no Z,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,100.0,2.09
1003235,The Curse,2023,What could go wrong?,An alleged curse disturbs the relationship of a newly married couple as they try to conceive a child while co-starring on their problematic new HGTV show.,591.0,4.23
1003238,Chaos Walking,2021,No one escapes the noise.,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",109.0,2.34
1003239,The Wolf of Snow Hollow,2020,Welcome To Snow Hollow,A stressed-out police officer struggles not to give in to the paranoia that grips his small mountain town as bodies turn up after each full moon.,84.0,3.34
1003242,No Exit,2022,Who will survive the dead of winter?,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",96.0,3.02
1003245,The Croods: A New Age,2020,The future ain't what it used to be.,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",95.0,3.01
1003250,Gonjiam: Haunted Asylum,2018,Experience the horror.,"The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.",95.0,3.32
1003266,The Hating Game,2021,He's the one she loves to hate.,"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",102.0,2.41
1003267,The Peanuts Movie,2015,The story of an underdog. And his dog.,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest.",88.0,3.54
1003268,Summer of 84,2018,Every serial killer lives next door to someone,"Summer is usually a time for fun and games, but some teens get much more danger than they bargained for after beginning to suspect their neighbor is a serial murderer.",105.0,3.19
1003274,In a Violent Nature,2024,Nature is unforgiving.,"The enigmatic resurrection, rampage, and retribution of an undead monster in a remote wilderness unleashes an iconic new killer after a locket is removed from a collapsed fire tower that entombed its rotting corpse.",94.0,3.0
1003278,Gunpowder Milkshake,2021,Revenge is best served ice cold.,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",114.0,2.83
1003279,Back to Black,2024,Her music. Her life. Her legacy.,"The extraordinary story of Amy Winehouse’s early rise to fame from her early days in Camden through the making of her groundbreaking album, Back to Black that catapulted Winehouse to global fame. Told through Amy’s eyes and inspired by her deeply personal lyrics, the film explores and embraces the many layers of the iconic artist and the tumultuous love story at the center of one of the most legendary albums of all time.",122.0,2.54
1003282,Macbeth,2015,All hail Macbeth that shall be king,"Feature film adaptation of Shakespeare's Scottish play about General Macbeth whose ambitious wife urges him to use wicked means in order to gain power of the throne over the sitting king, Duncan.",113.0,3.47
